Designator,Mid X,Mid Y,Rotation,Layer
C1,153.67,-112.014,180.0,top
C10,143.2585,-106.8045,0.0,top
C11,140.6591,-109.411,270.0,top
C12,136.6207,-109.405,270.0,top
C13,134.9697,-109.405,270.0,top
C14,132.0825,-106.016,270.0,top
C15,133.6997,-106.016,270.0,top
C16,132.0825,-102.42,90.0,top
C17,133.6997,-102.42,90.0,top
C18,133.731,-98.933,90.0,top
C19,135.382,-98.933,90.0,top
C2,161.798,-113.03,180.0,top
C20,132.08,-98.933,270.0,top
C3,161.8753,-102.9263,0.0,top
C4,157.48,-98.61,180.0,top
C5,151.6391,-98.61,0.0,top
C6,158.3944,-110.8456,270.0,top
C7,148.2525,-99.6385,90.0,top
C8,140.1547,-98.933,270.0,top
C9,138.6307,-98.933,270.0,top
D1,161.9275,-85.8495,180.0,top
J1,162.3,-99.305,180.0,top
J2,165.98,-102.62,180.0,top
J3,148.63,-82.35,0.0,top
R1,142.367,-109.411,270.0,top
R2,144.018,-109.411,270.0,top
R3,157.4605,-96.9772,180.0,top
R4,154.686,-97.79,270.0,top
R5,137.033,-98.933,270.0,top
SW1,137.922,-83.439,180.0,top
U1,161.8488,-105.8473,270.0,top
U2,153.1485,-104.8295,90.0,top
U3,137.6705,-104.2645,0.0,top
U4,161.8488,-110.0438,90.0,top
